iter	Passed	Remaining
826	6907	1445
827	6916	1436
828	6925	1428
829	6933	1420
830	6941	1411
831	6950	1403
832	6983	1399
833	6994	1392
834	7002	1383
835	7011	1375
836	7020	1367
837	7028	1358
838	7037	1350
839	7045	1341
840	7053	1333
841	7061	1325
842	7069	1316
843	7078	1308
844	7086	1299
845	7094	1291
846	7102	1282
847	7110	1274
848	7118	1266
849	7126	1257
850	7134	1249
851	7143	1240
852	7151	1232
853	7159	1224
854	7168	1215
855	7177	1207
856	7187	1199
857	7196	1191
858	7205	1182
859	7213	1174
860	7222	1166
861	7232	1157
862	7240	1149
863	7249	1141
864	7257	1132
865	7265	1124
866	7274	1115
867	7282	1107
868	7290	1098
869	7297	1090
870	7306	1082
871	7314	1073
872	7323	1065
873	7331	1056
874	7340	1048
875	7348	1040
876	7357	1031
877	7365	1023
878	7373	1015
879	7382	1006
880	7390	998
881	7399	989
882	7407	981
883	7416	973
884	7425	964
885	7433	956
886	7442	948
887	7451	939
888	7458	931
889	7466	922
890	7474	914
891	7483	906
892	7490	897
893	7499	889
894	7507	880
895	7516	872
896	7524	864
897	7532	855
898	7540	847
899	7549	838
900	7558	830
901	7566	822
902	7574	813
903	7583	805
904	7592	796
905	7600	788
906	7609	780
907	7616	771
908	7625	763
909	7634	755
910	7642	746
911	7650	738
912	7659	729
913	7668	721
914	7676	713
915	7685	704
916	7693	696
917	7702	688
918	7710	679
919	7719	671
920	7728	662
921	7737	654
922	7745	646
923	7753	637
924	7761	629
925	7770	620
926	7778	612
927	7787	604
928	7795	595
929	7803	587
930	7814	579
931	7822	570
932	7830	562
933	7838	553
934	7848	545
935	7857	537
936	7865	528
937	7874	520
938	7882	512
939	7890	503
940	7899	495
941	7907	486
942	7917	478
943	7926	470
944	7935	461
945	7943	453
946	7951	445
947	7966	437
948	7976	428
949	7985	420
950	7994	411
951	8002	403
952	8010	395
953	8018	386
954	8026	378
955	8035	369
956	8044	361
957	8052	353
958	8060	344
959	8069	336
960	8078	327
961	8086	319
962	8095	311
963	8103	302
964	8111	294
965	8120	285
966	8128	277
967	8136	268
968	8144	260
969	8153	252
970	8161	243
971	8169	235
972	8178	226
973	8187	218
974	8196	210
975	8205	201
976	8214	193
